review_datetime_utc,author_title,author_id,review_text,review_rating
03/29/2024 15:28:39,Anwar Md Hossain,102007699294378549343,"Carroll Park is a neighborhood in West Philadelphia, known for its working-class African-American community. It’s bounded by Lansdowne Avenue, West Girard Avenue, North 63rd Street, and North 52nd Street. The area is characterized by its namesake park, which features a central fountain, lawns, tall trees, and a playground. The park and neighborhood are steeped in local history and serve as a gathering place for residents, embodying the spirit of the community with the motto ""Where our neighbors become friends"".",5
03/26/2024 04:12:31,FRANK CUMELLO,117486557599727522829,Was there for a pray funeral for a friend,5
01/12/2024 13:31:58,Samantha Ryder,111455922185789962996,,4
12/30/2023 17:11:31,Lavane Bruce,107908935393224318739,,4
12/21/2023 00:33:54,Cicero Coleman,100743812511898297898,,5
09/28/2023 18:23:47,Omarr Markoe,114346819785988930913,,3
08/08/2023 01:53:45,Tyrone Harper,107347332631607794347,,4
07/05/2023 20:48:19,Wendell Thurman,113347727091582376151,,4
06/25/2023 21:18:16,ShAmU FiGuErOa,109452495301815181092,,3
06/17/2023 20:18:11,Sherell Nelson,105839606189225823822,Peaceful,5
07/16/2022 13:08:33,Brittany A,106390513172695591552,My kid enjoys playing here.,3
07/08/2022 12:51:18,Rosemary Poole,111299913846926508268,,5
06/19/2022 18:50:42,icanfixitful x,106273951468531599055,,4
06/18/2022 14:48:02,Bianca Ballard,109508405576717403799,,4
06/17/2022 15:13:18,Kenneth Hudson,106622811137309305262,,5
06/14/2022 22:34:13,Terry Ellerbe,110442094532672641655,Nice peaceful visit,5
06/04/2022 17:18:10,Gwendolyn Schumpert,109125284052679286458,,4
05/16/2022 13:21:00,Gloria Palmer,105264866088816289044,It's nice clean kids be having fun after a long walk great rest stop,5
05/09/2022 03:28:21,Shaniqua Kegler,106328314195050192485,,4
04/15/2022 21:53:19,george o,116766088546911217610,,5
04/13/2022 23:53:40,Alis Wallace,114971151223668399535,,5
