review_datetime_utc,author_title,author_id,review_text,review_rating
04/02/2024 02:23:20,Anwar Md Hossain,102007699294378549343,"Pennypack on the Delaware is a picturesque park located along the Delaware River in Northeast Philadelphia. Spanning 65 acres, it’s a hidden gem behind the Curran-Fromhold prison in the Holmesburg neighborhood. The park is a part of the Northern Delaware Riverfront Greenway and is accessible by SEPTA Routes 84 and 70. It offers paved and natural trails that wind through grassy areas and lead to a forested section at the confluence of Pennypack Creek and the Delaware River. The park is a haven for wildlife, including many species of birds and even bald eagles, making it a perfect spot for nature enthusiasts and those seeking a peaceful escape from the urban bustle.",5
01/18/2024 14:09:37,Smiley,107053137981329307728,"I love going down here! It’s nice to just take a long walk enjoy the scenery, I love when they have activities and events , I been going it for years and now I take my family ! I just love it there ! It’s very peaceful and relaxing , jus alit if traffic at times ! But you must check it out ! We went magnet 🧲 fishing with the kids and had sooo much fun ! The kids love it I love it !! 😍 check it out !!!",5
12/17/2023 03:46:25,Amy Oltman,100118273566254001474,,5
10/31/2023 12:19:38,Derek Gil,108089863391604921256,"This place is ridiculous! Gate is never open . Ranger or whoever should open the gate is never on time. It says open at 6am !!!  Gate is open at 8 , once in a while ! The gate ""master"" is always late !  It's 8:20 am and gate is still locked . There is about 15 cars lined up trying to get into park .",1
10/24/2023 18:32:41,ag kills,118006413712998171825,,5
09/18/2023 19:16:06,Quinn Kirlew,113332806881322974122,Great hidden gem. Good views of the river and nice premises. If you're lucky you might even see the bald eagles that nest there every year.,5
08/12/2023 10:49:38,Gary Muzyczka,107220547617192017512,"As expected by ANYTHING run by the city you can’t go by the posted hours … 47 minutes after the posted open time and I’m looking at a closed gate … called the posted number no answer , called the number on the answering machine for the “Ranger Supervisor on duty” and guess what,… wait for it …. You guessed it NO ANSWER!! Big shocker in Philly .. I bet being on duty means some OT pay to top it off … enjoy your pay and the ZzZzZ’s you’re most likely enjoying instead of the job your supposed to be doing",1
06/28/2023 19:42:59,An,115649375372286407565,,5
06/19/2023 23:30:54,Jeffrey Martin,116654294075115647715,,3
06/08/2023 03:22:29,Kathleen M. Golden,116866598734093666605,,5
06/05/2023 17:25:54,Jamie burns,101694311473240732021,,4
06/04/2023 02:25:28,alber abd,108063551835192953053,Very nice,5
05/30/2023 11:22:29,Rawan Qays,100166775927225582496,I love this park so relaxing place,5
05/21/2023 22:03:48,Carlos Arnaldo,115184994994270787509,,5
05/08/2023 02:59:23,Arthur Underwood,115052173738449767363,,4
04/29/2023 00:02:33,Kareem Ford,113115115973816944872,Beautiful place to stop and visit,5
04/21/2023 13:44:42,Chelcie Davies,107841813858983277182,,5
04/14/2023 21:49:45,Andres Moreno,108895716917028263926,Amazing!! 🤩,5
02/26/2023 12:03:31,Twan Rui,104469069065674526930,"THIS PLACE NEEDS SOME BASKETBALL COURTS!!! IT ALSO NEEDS A BOAT DOCK!! THEN, IT WOULD BE LIT AF!!",4
12/13/2022 11:38:34,Y L,104778261714567809086,"Why are the rangers always an hour late opening the park?  Says ""open"" on maps but when I arrive the gate is locked? Sometimes cars are lined up waiting to get in.

Closed times are wrong on maps also, says 11PM.   Was greeted by cops.   You make sure we're OUT on time- but open whenever you feel like it.",3
11/16/2022 21:42:11,B Sln,115497143687261667925,Good birding,5
09/17/2022 17:23:08,Mariia Rossolova,104203948754243006279,,1
