review_datetime_utc,author_title,author_id,review_text,review_rating
02/08/2024 00:45:25,Anthony Holiday,106370078188656832365,,4
12/01/2023 05:35:10,Jacqueline Myles,108475698925151810223,Kemble park is a great place to walk around and take in the elements of nature. It’s great for walking your dog. I love watching the changes in the trees as the seasons change.,5
11/25/2023 17:20:06,Wanesia Burch,100705944442016682108,,3
11/15/2023 21:33:29,Quincy Hill,109922983848300778786,,5
10/20/2023 16:43:19,Jemair Mckay,108438305594014213360,,4
10/10/2023 22:14:59,Walter Richardson,100462550749409363294,Nice work on park!!,5
09/01/2023 14:44:03,Terry Taylor,113994069686621991248,,4
08/08/2023 10:38:46,Nicole Cruz,106302794860262300432,Nice place to get your steps in,4
08/08/2023 03:20:58,Sheeda Jefferson,117792763515557210215,,5
08/04/2023 18:48:28,Clarice Bey,113229201814491646735,,4
07/28/2023 15:13:41,LUCKIE,114700869981293209673,VERY CLEAN,5
07/28/2023 02:30:25,Tyrone Brown,115053777390719827244,"Needs more seating and more activities for the kids,but it's always a clean place to relax or exercise.",3
07/11/2023 22:09:08,Judith Brezeal Bradley,105959970858144899421,"Nice Annual Father's day event for those who grew up in that neighborhood  without calamity.  Beautiful BBQ but get there in a timely manner with a memorable mindset of respectability of peace and love of yourself, neighbors old and new.",3
07/11/2023 02:42:44,Anna Smith,117939486224332412466,"This park is ok. On days when few people are around, the park is a great place to walk through if you stick to the paths. My main complaint is the absurd amount of animal feces left all over the edges of the park. It's disgusting, and every time it rains, the park smells HORRIBLE. When locals do visit the park, they play loud music, throw their trash everywhere, shout incessantly, etc. I've seen some people try to keep this place clean every month (God bless them), but this park really needs the locals to respect it so more folks can appreciate all the work put into the flowers and trees.",3
07/03/2023 10:18:43,Earle Smith,116805431956572737185,Great gathering of friends and family getting together ❤,5
06/28/2023 13:16:30,Tara N Street SAUNDERS,110329131443106003266,,5
06/26/2023 05:41:14,earle smith,105099467026258691903,"Great for , family and community geartherings.",5
05/10/2023 15:16:55,Raising 3 in Philly,109058478863386936974,Good kids hang out here!!😊,4
05/02/2023 09:34:43,Harlidoll Xx,113230532450033104776,"I believe it's mainly a dog park, there are only two sets of swings and a space for basketball. The rest is all grass, I don't recall seeing a picnic area, only park benches.",4
05/01/2023 17:08:23,Gina Chambers,116404028637972370030,Needs an update,4
03/23/2023 12:48:13,lynnsy wilson,102898677948621971192,Small.  Needs updating. Old and faded. Broke swings,3
01/14/2023 20:42:09,mr JB,105309810026225386791,,5
11/07/2022 15:27:35,Dominique Bussey,116752572640359021305,,1
