review_datetime_utc,author_title,author_id,review_text,review_rating
09/22/2022 15:23:31,Jerry Garcia,113086871039836317777,Awesome!,5
05/06/2022 17:09:52,Erika Fox,101885641243957153842,Beautiful little park to chill at with beautiful flowers planted. Has seating available and is a much needed green space in a busy city setting. Love it. 4 stars since it lacks a playground yet a nice spot.,4
02/22/2022 01:36:59,L,108038669203554159386,,5
04/01/2021 21:13:54,Jeffrey Brozoskie,107824189435777021624,A nice park not in the best part of the city.,3
10/28/2020 23:55:48,Jacqueline Chapman,102170055532470799803,Great place for relaxing or knitting its quite place,5
06/19/2020 16:33:44,Reynold Laguerre,108544658079513348806,,4
12/17/2019 05:03:43,Heron “Eizarp_444” Family,110596842963912927255,Nice element,5
06/22/2019 12:38:42,Angel Navarro,103805359161785038742,,5
05/24/2019 01:21:01,Evan Ewan,111481351366164286099,,3
09/25/2018 18:06:14,Robert Turner,116526037374042264506,,5
08/08/2018 03:02:36,Lleya Garcia,103934795627388098766,,5
05/24/2018 20:14:42,Salutemeim_zah,112125170405598509906,,5
