review_datetime_utc,author_title,author_id,review_text,review_rating
04/11/2024 16:40:56,William Gray,101492143720318472218,It's so peaceful. A place to go to take you away from the hustle and bustle and throw your line in the water.,5
04/02/2024 02:18:01,Anwar Md Hossain,102007699294378549343,"General Pulaski Park in Philadelphia is a tribute to the valiant General Casimir Pulaski, a Polish nobleman and military commander who is often hailed as “the father of the American cavalry.” The park is located at 3001 E Allegheny Ave and is part of the city’s expansive public park system. It offers a unique place to experience the Delaware River, with facilities for fishing and enjoying the expansive views. The park’s half-acre parcel sits in the Port Richmond neighborhood, providing a peaceful pier for visitors to reflect on the historical significance of General Pulaski’s contributions to American independence.",5
03/29/2024 22:01:40,William Muench,109505320420909893949,"Great, thin, international park. Had a really good idea when I was here. You’ll see someday. Was visited by circular plant matter seeking goose, very persistent chap. Only honked once but he was always there. Wind.",5
01/09/2024 04:45:13,James Nation,114717483996580460247,It's good. It's small. Theres not much to do other than fish and sight see... The dog enjoyed it tho.,4
10/19/2023 16:37:18,The Drone Ranger 215,102192292443982931940,Nice quiet place to relax,5
08/23/2023 07:06:54,Maritza Camacho,115609729166009830427,,5
07/24/2023 16:52:44,Maribel Rosa,107310946860402772446,,5
07/24/2023 12:48:38,ник один,105509184148802337888,quiet place,5
07/09/2023 22:31:50,Karen Perry,103429523062883312313,Good fishing here,5
07/07/2023 20:23:25,Alex Burgos,116770602096164778233,Not to bad it's rather small and someone burned a porter potty but it's ok to drive my bike to and from,4
06/02/2023 03:22:35,D Dwa,114537006308441901546,,5
05/26/2023 03:52:11,J Dylan “dtrain” Fisher-Hayes,118081040493364479600,,5
05/10/2023 03:41:13,Ashley Barrett,100170208117406683489,,2
04/14/2023 11:41:43,Kimberlie-Jo Miller (Dolphin),118208211942679641200,I go fishing 🎣 here sometimes,3
03/19/2023 16:40:24,John Mackey,105591554807238008491,,4
02/22/2023 15:58:24,COWBOYEDD Reiman Jr.,102517730460824377671,Small but still a great way 2 view the ship's,5
01/27/2023 11:27:42,James Holland (MacGyver),110034611985868765630,,4
11/09/2022 16:02:08,RIPJanet Strimel,110536137858523645994,This place been around for as long as I can remember 45 years ago as a kid I used to come here sometimes to fish to hang out was always fun I know it’s more updated today witch is good now I come here with my 4 kids and wife sometimes when it’s not too crowded still a nice place I just wish spots like this was open all night …,5
10/18/2022 19:33:31,Maria Serrano,113615148141415520461,This place my dad used to fish a lot,5
10/08/2022 03:28:04,John Hayes,117929081708555008894,,5
09/06/2022 04:29:58,Curran John Smith,109760128158841495685,,4
08/25/2022 03:15:16,Alberto Virola Jr (Therealmrneeko76),112685277357335457524,Great Trip During My Vacation. Cleaned and Great People in The Area..,5
08/18/2022 22:50:28,JM Survivor The Island,104009622276728362572,Lamentablemente muchas de las personas que van no cuidan lo poco que tienen...,3
08/14/2022 17:50:40,Anne Renzi,114815075157277882269,,5
08/03/2022 11:06:00,Joseph Waters,108834818063527476713,"My first time there, I find it clean and pleasant. It could use a little more tree's for shade, nice.",4
07/02/2022 05:41:42,John Hayes,112032463430277929363,,5
06/20/2022 16:53:59,Krystofhawk,107469924117690866228,,2
06/14/2022 23:03:08,Shannon Oliver,103940078672820380172,I like to take it all in for a minute.....forget the day for a minute,4
05/14/2022 04:53:08,James Deegan,115696987496578607641,"Needs volunteers, this place used to be nice.  It has huge potential but it's like anything in Philly, it needs TLC. Some more benches, lights, trees, and water fountain would bring a smile to the  ol general's face. And a shout out to johnny  Becker , the unofficial gatekeeper of pulaski Park",3
05/03/2022 13:56:30,Joan Cruz,105474582861362581920,,5
04/28/2022 14:06:53,Michael Gawlinski,108669448191306316830,Decent park and a nice place to fish but this is one of the places the boom parties are held.,4
04/23/2022 23:48:07,Walter Richardson,100462550749409363294,Nice n quiet  n clean!!,5
04/20/2022 03:03:11,Hopeless Soul89,116617960323130276150,,5
03/19/2022 05:48:14,Kaylah Longenecker,105414191811926361062,,5
03/04/2022 21:30:52,FLY AboveGroundLevel,109280203599855117770,,3
02/21/2022 05:05:07,Pooky Brim59 (PookyBrim),112268762175967146976,Love it here. The view is beautiful and definitely peaceful.☮️,5
01/05/2022 20:42:56,Kimberly P,115768936242286178220,Very cute little park right on the river. They remodeled the park and it looks really nice. Nice place to take the kids for a quick walk.  We were just there and there is a beautiful huge ship parked right in front of the park. Really cool,5
01/01/2022 23:00:11,Charlique Dobney,116255850335303463513,"Can't see much on a foggy evening, but the fog  gives it a different charm.",4
