review_datetime_utc,author_title,author_id,review_text,review_rating
03/07/2024 23:43:17,Isreal Gold,100537475826047120533,"Good park. The city has allocated no resources, keep your eyes out and a hand on your gun.",2
02/13/2024 13:43:47,DoYou Comeback,101232856904648387588,,5
07/12/2023 21:13:04,Harry Quintana,101618555180702076129,Love my Grandsons.,5
03/06/2023 22:29:27,David Scudder,110923918452207427917,,4
08/11/2022 04:45:57,Phaedra Tinder,114269710461741977216,,5
07/30/2022 12:16:42,Christopher Castillo,111851759839583665515,"Amazing park ,great for long walks and runs",5
06/22/2022 19:49:15,Iyana Smith,114356695537883680028,,3
01/25/2022 11:00:03,Raul Maldonado,102513777604144526412,,4
07/04/2021 22:23:32,PhillyNJ M,105542141056198814158,"I usually go here alot but lately I stop. Ots diety, trees broke in walk way, motor cycles riding in trail walk, water smells rotting. Not cool. Someone needs to take better care of this park. I went today and had to walk right out. Smelled so so bad.",2
04/27/2021 15:56:14,Jose Lopez,101743059438939730287,Nice place to enjoy the nature and go 🚶for a walk through the woods 🪵,5
12/15/2020 21:08:35,Correy Robinson,110430790093263735973,,4
08/03/2020 11:22:57,Candelaria Rondon,111326261408844378874,,5
03/12/2020 00:42:51,TODD Darcchild JOHNSON,113896894503803047765,,4
01/16/2020 02:19:08,Tom Reilly,105776673347915341487,,4
12/08/2019 16:44:45,Carlos Loaiza,106027002027830552829,"Nice trails, lots of nature.",4
10/19/2019 23:41:14,Robert Schlatter,116900416517721429976,Great trail to walk along. Not so crowded as the popular Wissahickon trail,5
09/24/2019 17:46:03,Samuel Baez,115403588405868849339,,5
09/11/2019 12:23:11,Shawn Burrell,118047797323308443524,Great trail,5
08/20/2019 22:21:35,O Rodriguez,110002340111776058481,Beautiful we saw deer.,5
08/07/2019 13:42:58,Chris Fana,116179266384371979602,,5
08/05/2019 22:38:13,Jose S. Rubianes,105530391749634805804,Here you can come with your entire family enjoy nature,5
08/04/2019 11:14:18,Wanda Southerland,101325761817623336875,,4
07/25/2019 00:45:08,kai thesnowflake,104785413631699465513,,4
07/21/2019 03:05:48,Ammon Cirigliano,112649841176686290157,,5
07/19/2019 16:28:03,Raymond Figueroa,113949795602370407581,Nice place,5
07/16/2019 02:35:28,Pablo E Ramos Garcia,103982254503206926446,Excellent spot,5
06/29/2019 23:54:54,Lisette Katbeh,114709521715549348966,Cool place to take a walk or run.,5
05/27/2019 22:47:27,Jesus Castro,110010463645886486232,,3
05/16/2019 16:10:41,Samuel Abreu Rodriguez,109491014909988560759,"Es muy solitario.
Es lindo el lugar.",2
05/13/2019 16:36:12,iladelphi Ninja,108663233516714935146,Love the vibes here. I always get a good run in!,5
05/03/2019 17:12:57,Megggs Mc,107193159341594993198,"Had a great time, until we heard gunshots. Otherwise it would 5 stars",4
04/27/2019 01:51:53,james murray,105905278893135145775,Nice spot,5
04/08/2019 11:37:47,Mick stahl,106240824780915824772,My childhood spot,5
03/23/2019 17:49:59,Love me Now,117616192903893755788,,5
02/01/2019 13:21:59,Jessica Dejesus,111981597802872067130,Good to walk around with family,5
11/17/2018 02:13:24,Vanessa Alexander,103357305447602778183,The bird walks and creek studies are amazing.,4
11/10/2018 17:23:17,Whatsgood every1,105995940359293500654,,5
11/01/2018 15:25:59,Kayuh Pedalers - Tom,105372392659206279467,,4
11/01/2018 15:19:14,Tom Haney,112704458527714590828,,3
10/05/2018 23:41:50,Madera Garnett,101065198330768042636,Peaceful,3
09/18/2018 01:49:23,Tuyen Dinh,100459498603662178148,,5
07/19/2018 17:12:37,Eduin Duval,116552662233778105573,,5
06/29/2018 23:57:03,OrlandoIzzy,106401139257005447613,,5
05/29/2018 13:15:33,Irene Morales,103676719601042105678,I love this place.,4
05/01/2018 19:26:47,Nicole Modrell,113791189959289030990,,4
11/08/2017 14:28:49,William Fraser,111352063923780002449,,5
06/07/2017 18:50:06,Gabriel Moreno,115489850276995163003,,5
09/27/2016 17:18:39,Rob V,114886975242147696241,,4
08/30/2016 06:40:34,Luis Vazquez,109758237112045543776,love this park. buen lugar para estar en familia.,5
08/17/2016 18:12:43,Jenicia Knox-Smith,104112695726973155498,,5
01/01/2016 20:25:02,Ashley Martin,114617871804357457237,,2
