review_datetime_utc,author_title,author_id,review_text,review_rating
03/25/2024 18:13:30,Diana Zirmi,102330995041496576851,"I think this place is a pretty nice place to hang around maybe play some ball, I think this place is definitely great for taking your dog out for a walk and everything. Very peaceful and not busy. Just wish it was maybe larger and had more things.",4
01/06/2023 02:34:27,Jay Trubert (J.J.),115898200695239250752,weird park . needs more cut,4
09/13/2022 10:54:17,Ryan D,105673867287875233097,,5
03/22/2022 14:39:25,Sin The Black Rose,102570460033273915531,"*Editing review to add that I now know why one side is usually open while the other is closed sometimes). It appears this park is run by people who live near it. Didn't know it was a private park? The name fits, Karen.. Certain people are allowed to use it, they can even throw parties. I wondered why in a diverse neighborhood 🤔 I barely saw people of color frequent this small park.. now I know. I made the mistake to sit around with my son without realizing we weren't welcome.",1
09/27/2021 22:00:07,Julie G,114443046813406983094,"This park is hard to find, it seems to move around. But if you can find it, it’s very nice and the seesaw is weird but fun.",5
07/27/2021 21:04:47,M.A. Bailey,106969463097520836956,"Fantastic little hideaway, but bring your bug spray. The mosquitoes will eat you up!",5
07/23/2021 02:41:08,Warren Bedoya,101560510736412709587,,5
05/27/2019 21:18:05,Markara D,114591191349959879473,Not much to do in this tiny park.,3
06/26/2018 07:31:10,Leanne,103162648800459336539,,4
09/29/2017 17:32:01,Nelson Braga,106510268361537665869,Coisa linda de se ver,5
09/13/2017 11:55:00,Nicholas Sim,104397443667258690009,Nice,4
