review_datetime_utc,author_title,author_id,review_text,review_rating
11/07/2023 21:37:57,Nidhi Nasiar,117918874243426862929,,5
07/13/2023 14:39:04,steven xavier solipse,111930114774346183986,,5
03/06/2023 20:10:56,Silvia A.,107425028233715343498,,5
01/11/2023 20:12:21,Heidi Sterling,112612396340222310388,Clean fun easy to use.,5
08/05/2022 21:08:01,Tina Sissy “PNP” 4Ice,111922382423107419257,Boring,3
08/01/2022 15:05:11,Timothy Nesmith,110657915239797360234,A great place for a walk,5
06/24/2022 22:01:10,J.H. Piecyk,101453871736598902080,,5
10/20/2021 12:06:15,nick GERARDO,113818862120663135848,Nice trial! The bridge has great views and I am glad it wasn’t destroyed and turned into a trail.  I really enjoy that Philadelphia has so many trials.  There are some many things to do besides being in city center.,5
10/04/2021 11:26:28,Leanne M,108114307597706562624,Nice trail with a beautiful view of Manayunk and the city. It's so nice to come up here during the sunset and look at the scenery while going for a walk. It's also a good trail to run if you're into that,5
09/24/2021 23:40:43,Bellina,111644752665323091024,Quite Trail is 1.75 miles to trails end cafe in bala cynwyd pa. >> this is the Green Lane Bridge in Manayunk on the Cynwyd Heritage Trail,5
08/02/2021 10:54:44,Angela Bush,104185265823559827384,,5
10/20/2020 21:17:38,Christopher Driscoll,115729301985334757302,,5
09/20/2020 20:35:13,Ryan Roat,112754715606916691076,,4
04/26/2020 08:15:44,Joe Grant,101285049684161570984,SO happy this is a pedestrian path and not a train line. Great spot to watch a sunset. Has so much more potential too! I would love to see it get made into some green space.. maybe add some benches too,5
12/14/2019 00:07:04,Sanela Solar,107220394446266596167,,5
04/03/2019 20:39:37,victoria Marina,106376600961827756077,,5
02/22/2018 11:27:31,Maudood A. Bhatti,104472387443759872556,A nice place to walk or bike,5
02/18/2017 22:22:46,Jodi Stepongzi,108919712515706410102,,5
01/29/2017 17:07:10,Albert Stepongzi,109024682937956743640,,5
12/25/2016 03:48:04,Cartwright Reed,103606173603911177229,,5
