review_datetime_utc,author_title,author_id,review_text,review_rating
03/18/2024 01:13:39,cindy varela,107920861305887537518,"Es un lugar muy bonito, no me había atrevido a ir porque dicen que es peligroso, pero hoy fuimos con mi hija y nos gustó, ojalá nos pudiéramos unir entre vecinos y recoger toda esa basura que hace que el lugar se vea desagradable",5
11/20/2023 14:46:17,Eudene Parson,101233374759488931230,Great park in the middle of the city to get some exercise in,5
05/08/2023 03:54:50,Denny Mac,106455429973348058043,,5
04/28/2023 01:47:01,Jamal S.M.,101722469117863356208,Great for long walks.,5
12/28/2022 10:50:46,Altagracia Matos,117219323856961311989,,4
09/09/2022 06:14:57,Hao Pan,115893007125464557484,,5
08/11/2022 03:57:58,Phaedra Tinder,114269710461741977216,,5
08/04/2022 11:02:09,Alethea White,102814131041351377613,,4
05/31/2022 21:23:05,aisha futch,100063118469895675827,peaceful park. great place to exercise or just get away.,5
05/27/2022 20:21:57,Li Wang,102725390106236801977,,5
04/15/2022 21:43:55,Carlos Tzunux,101528719760127768979,Nice very good 👍 👌,5
02/24/2022 16:53:34,Erica Torres,106451639965015405217,,5
08/23/2021 16:05:29,Christopher Castillo,111851759839583665515,I love this place very beautiful and a great place for a jog,5
05/20/2021 22:10:25,Carl Bratcher II,102323049749528408239,,5
04/18/2021 22:17:12,Edwin Zayas,107165217572728927693,,4
01/13/2021 19:29:08,WORK HARDER PRODUCTIONS,104308079122473023246,Peaceful,4
11/29/2020 21:48:19,Oluwafemi Mora,101946036107454715993,"Is ok to have a hike around but people riding four wheelers and dirt bike messed the fun. Today me, my dogs and my child got a very close encounter with a person riding full speed in curve down hill.",2
11/01/2020 02:27:22,James Jean,113277299479392383994,,5
10/11/2020 19:06:01,Yazmine Seleman,115478801532293218048,,1
05/24/2020 21:35:10,Diana Walker,107835115126186091983,My kids loved it,5
02/04/2020 07:49:00,Jay Abbz,104114897667968599485,,3
01/13/2020 02:25:12,Miguel Angel Crespo Jr (cmiggs457),109974582808765162696,It's a nice park to sit and get some shade from the trees on a hot sunny day.,5
01/07/2020 22:25:16,Jamilla Griffin,109309402528686720544,,5
12/25/2019 07:15:59,Miguel Garriga,103772860113549771022,,3
12/22/2019 17:19:09,Louis Romanowski,106030688365603542408,,5
12/12/2019 01:37:27,Mariely Ramirez,112678721665831320773,,1
10/18/2019 06:19:33,Eli Hernandez,115778200978275390738,,5
09/16/2019 20:29:30,Edgar Ortiz,117713959107496561154,Love this place to go for a good walk 🚶i enjoy the view verry much and take lots of pictures 👍 👍 👍 👍 👍,5
09/15/2019 16:41:22,Darien Maldonado,108852908446479344290,It is a beautiful trail but it needs to kept up with cleaning other then that it is a great trail.,4
09/14/2019 09:54:21,Ulysses Velez,107731593169258172593,Very serene.,5
08/23/2019 01:11:45,Maridaisy Fabian,101678254015349491299,"Muy bello,hermoso me sentí muy  relajada.",5
08/18/2019 02:46:31,Javier Reyes,110779618505405332787,,1
07/08/2019 16:04:55,Jose Luis,104444180387725391025,,5
05/12/2019 13:02:42,Vanessa Alexander,103357305447602778183,,5
04/24/2019 23:26:43,Bulldog Brad,111847553999958685295,Nice walking area and meditation,4
12/27/2018 11:49:50,Tina Morales,107350091294972629222,,2
12/24/2018 06:20:55,Kackler,105590142830795372434,,2
12/11/2018 19:02:41,Ada Ortiz,117741981282050475507,,5
08/08/2018 22:10:37,maikeisha dews,104275595568727886526,😍😍😍,5
07/02/2018 02:56:42,KHAN,114152451519058770485,Quite and beutifull place,5
06/25/2018 04:01:47,Daniel Quezada,106224252149329381872,,5
06/11/2018 03:30:58,Zoraida Ocasio,112737812160200628455,,5
12/26/2017 13:33:19,Gerard st.george,111631374125035369275,,5
07/29/2017 01:38:59,MANUEL DE JESUS ALMONTE BATISTA,113412500503248173695,Excelente,5
03/16/2017 02:42:35,Dave Smith,102577804621989299775,,4
02/28/2017 13:40:47,Muhammad Hanif,108313835018589043058,,5
12/11/2016 12:41:19,George Williams,111265542957813008502,,3
09/16/2016 07:00:04,jose roque,106601922088777389851,,5
07/19/2016 16:23:08,Tony Torres,111124197021747032487,,5
10/17/2015 21:57:22,Dieujus Brutus,101859427932884512266,,5
