review_datetime_utc,author_title,author_id,review_text,review_rating
04/02/2024 02:02:38,Anwar Md Hossain,102007699294378549343,"Cloverly Park, nestled between Wissahickon Avenue and School House Lane in Philadelphia, is a serene two-acre passive park that’s part of the city’s extensive public park system. The park was a generous gift to the city in 1914 from the Edward White Clark family, and it once formed part of the estate called Cloverly, as indicated by the stone wall and columns with the initial “C.” The family’s former home site, now the park, used to host concerts in its bandshell. Today, Cloverly Park is a peaceful retreat for residents, offering landscaped beauty and paved walking paths, maintaining its historical legacy while serving the community’s present-day needs.",5
01/13/2024 23:21:33,Melvin Gonzalez,112891946024060175654,,5
10/26/2023 07:22:39,Deseri McLoyd,111383569086222338958,,5
10/22/2023 20:28:04,queyy hyman,103301400623247604834,Love my park always peaceful,5
10/09/2023 15:05:08,Hugsie,101442214055523068246,Love a good park. No restroom,5
08/22/2023 15:26:26,Velina Rowemoore,101656819678873187371,I wasn't there,1
08/20/2023 03:14:14,Richmond Baye,109053903625821972188,,5
07/22/2023 21:19:37,Brittney Lloyd,106066919026208465715,I live across the street and car windows are constantly broken at night. What a dump.,1
06/01/2023 00:17:31,Taheer Seldon,115815642393798125415,,5
05/29/2023 21:58:32,dalfonso brewington,105983575440412894535,,5
05/11/2023 15:36:49,Kay Nomad,104996289687894497741,,5
04/02/2023 18:13:56,Joe Berner,117886529876363047800,"Excellent, often overlooked park. It has several different aged playgrounds, a few swing sets, and wide open areas for tag or running around. Parking on Wissahickon is easier then on School House lane. Big fan of this park.",5
09/24/2022 22:21:13,HAROON Tillman,107698198788020582594,Great Little space And an Awesome Community Garden 🪴 Good Luck with That Tho,5
09/05/2022 19:32:12,Yvette Thomas,105544341491251528683,,5
07/26/2022 19:35:39,cheryl Mccleary,104461825230858657956,Perfect,5
07/26/2022 02:53:14,No No,109844541312415412348,,3
07/15/2022 01:47:56,Jon “Traveler 369” Perez,116061207309705205498,Quiet little gem with plenty of room for the kids and/or pets to play. They now have plenty of benches and lots of shade.,5
07/09/2022 03:17:01,Erieon Kapri,111497093650893410136,"Nice and clean, very peaceful! My 3 year old loved it",5
07/04/2022 20:00:13,Jessica Caraballo,114120562319070023616,Nice quiet place,5
06/18/2022 16:37:08,Katherine Crum,115396294195868602610,Pretty atmosphere.  Kept nice and clean,5
06/13/2022 21:47:52,Bettie BAW,109320605934325611295,Peaceful,5
04/21/2022 05:14:21,Lionel Green,102611363706765026424,Small and quaint. Safe children's play area with picnic tables. Open space for frisbee and ball. Dog optional 🐕‍🦺.,4
04/19/2022 23:05:52,Robert Johnson,110620156462022878079,Nice peaceful,5
03/22/2022 02:16:11,Kimberly Mccray,114971674975719167420,,5
03/21/2022 09:15:46,Kaashif Mustafa,102767764369822514431,Good park for your children and also walking your dog 🐕 having fun 😀,4
03/11/2022 00:37:49,Daniel Nolan,105487644092177845409,,5
12/02/2021 17:39:52,Randolph Fair,115080846319982163178,,5
10/10/2021 19:38:53,Shalu Mickeals,107315955510406188375,Great park For families 😊,5
09/25/2021 22:39:15,Marvin Hamilton,113070541904070858889,It was nice it was our 1st time there,5
09/19/2021 23:16:10,Carl Thornton,116756691430944221890,,5
08/19/2021 11:24:54,Cris Emmm,109909875849353344123,Classic park....could be cleaned but that’s a reflection of the community not the park!,4
06/15/2021 21:43:56,Albert Nieves,110351769985548998993,,5
05/22/2021 19:48:54,Deborah Irons,108484800043918680760,I shared an early morning  breakfast here! Such a great park! Loved it! I must  return! It happened to be my first time there! Highly recommended!,5
04/29/2021 15:52:24,Tee,111024883240935209867,,4
04/07/2021 21:45:29,Robert Richardson,115817939890503931586,I rode by on my trash truck. It's so beautiful out their.,5
02/13/2021 23:55:45,Ann Torockio,109391868927845423678,,5
01/29/2021 02:14:47,Jermaine James,107332011373594438025,,5
12/27/2020 03:04:02,Heather Sapelbweyar,111261154417199619338,This is a family favorite of ours for 8 years and counting.,5
12/04/2020 17:01:15,Kate Martin,117945979308176718635,,4
11/18/2020 22:22:38,Matthieu Pierre,110770351675844257585,,5
10/25/2020 02:28:10,Tina Fisher,102201028699372563830,,5
08/28/2020 15:55:02,JOSE A. LUGO,100484495455481572143,,5
08/23/2020 00:27:55,Ella Bella A,107804138272506644887,"Have been coming to this park since I was a preteen and im over 30 and I bring my children here. Very diverse, always kept nice. Had plenty of parties in the picnic area. U dont have to call to book and pay for recreatikn area. Just make sure if u are going to reserve put a sign stating it will be reserved with date and time frame. Friendly neighborhood. With the tire swing was still here but hey can't have it all right lol",5
08/08/2020 16:42:02,Lacey Owens,105714056456754209951,Nice park,4
07/20/2020 11:51:34,Ibrahima Mansaré,108415591418287497844,,5
05/30/2020 13:12:36,Byrin Herrington,114908643472671105620,,4
03/15/2020 04:40:20,msannie1980,109751590300893105130,,5
03/03/2020 04:02:04,Cristian Calderon,105299315335692491076,That is me in the photo!,5
02/25/2020 01:42:31,Teayana Woods,109645541265588473252,,5
12/15/2019 19:32:55,Danielle Collins-Cowart,110187070737292565046,Nice spot,3
10/15/2019 03:17:02,Ronald DeMaio (Ruim),116252942152041590534,,5
09/23/2019 17:21:36,Iveada Brunson,115779037738247496742,,5
09/05/2019 18:12:54,Get It How You Live #GetItHowYouLive,113162172172975008879,Sit and watch the wind blowing as my child swings and plays.,4
08/31/2019 17:24:21,Натали Мутавчи,106874903823174073205,,5
07/27/2019 20:56:59,Barnabas Dukes,116335223531840223118,OK,4
06/23/2019 11:49:29,James Ette',105063352916413458633,Germantown:s Best Kept Secret.,5
06/21/2019 20:44:05,Christopher Cole,116144133816024076010,Its a very nice park but would be alot nicer if the adults didnt smoke weed and drink alcohol there. #Respect Your Neighborhood!,3
06/21/2019 19:15:05,Errol Jones,112231483473609835532,,4
06/21/2019 18:00:31,Sangmin Shin,106524955389585645570,가족과 산책하기 좋은곳,5
06/15/2019 16:28:37,Milton Diaz,115565748079066126729,,4
06/12/2019 16:12:55,Don Jones,104607013197563936446,It's just a small park with swings..some place for small children can play.,3
06/08/2019 00:44:11,Peter “Peterypete” DeMuro,100825709008960851505,"Cute little park, plemty ofspace for a picnic or a toss. Has a playground and several benches",5
06/08/2019 00:28:39,Cherifa Brown-Cherry,111415816951714930850,Very nice park!!,4
03/31/2019 13:41:14,Renato Rodriguez,107816331359273533079,,4
03/23/2019 21:12:47,Sebastián Jesús Atoche Jovacho,102232016601039972120,,4
03/16/2019 13:28:18,rhyshetta keese,116034159528511233284,Clean.,5
02/10/2019 22:10:01,Dawood Leeson (Abu Tasneem),101914711807030215923,"Quiet park, with beautiful old trees and a seasonal garden",5
01/24/2019 11:16:49,kennetb bey,113233365337426616016,,4
01/03/2019 23:04:31,shykeema zimmerman,101887292302670855287,Nice park,5
11/03/2018 09:42:06,T. Jones,111685693935340206092,,5
11/01/2018 17:16:10,tolulope ogunbiyi,100951317447165705534,,5
09/30/2018 22:25:43,lori horwedel,100527107932180045142,"Cute little park, lots of seating, picnic table, and a few kids' play areas.",4
09/20/2018 23:46:49,Bryant Harris,104549942383842238385,Chillaxing on break from work its a nice evening tonight out here,5
09/06/2018 18:14:17,Pamella Natacha Lantonkpode,105090557829022615208,Needs to be cleaned!!!,3
08/27/2018 01:26:55,J. Brown,115862425395957801357,"Within walking distance for the kids short legs.
Only complaint; people can walk their dog and you have to hope they're responsible about cleaning up after the 🐕. Kids run and play. Families have picnics on the grass.",4
06/27/2018 15:57:54,Beverly Lott,106466224026628220017,,5
06/13/2018 04:47:36,Lala So Pretty,101089884486279899478,,4
05/15/2018 00:01:05,Andrea Kuhar,117003067233344807420,,5
11/27/2017 02:00:21,Kayla Campbell,115358388683750671934,It's a clean park that doesn't get too crowded. Its in a good location as well.,5
09/09/2017 01:49:54,athena godreau,102414403388529778764,,5
08/16/2017 12:29:32,Yvette Waters,115783837546416603835,,5
07/26/2017 04:41:25,maître gims,105903346989396870565,,5
07/21/2017 16:22:31,Derryck Prescott (Robyntv),112227852420443743088,,5
07/21/2017 08:39:31,Rabab Kazmi,102502711808847205446,Coved with trees,5
06/28/2017 14:01:23,Donald Jones,109415198995185285766,It's a typical small Park..,3
06/08/2017 10:46:27,Shakik Swiggett,106885532487053220001,,5
06/05/2017 17:02:42,v simmens,109195250067318547960,Very clean.,5
06/05/2017 09:06:02,Gregory Schwab,117171106517854889419,"Beautiful neighborhood park, well maintained by neighbors.",5
05/21/2017 11:53:40,Lucinda Megill Legendre,105689843109706085917,A beautiful multicultural playground.,5
02/20/2017 18:06:08,K C,116163001651860397345,,3
02/14/2017 13:12:15,Juan Eduardo Apablaza Soto,113852950809111798356,"Es un parque tranquilo, bonito tiene juegos para niños.",5
12/27/2016 18:06:34,Mohanad Aljarboua,105399921969406674610,Good park,5
06/01/2016 23:00:08,Shamia Ennis,107787561556296286084,,5
05/31/2016 18:52:20,Andrew Isom,117606510405312319786,"One of my favorite parks in the city. It's spacious, has great natural terrain, gorgeous flower gardens maintained by a committed community group, decent playground options, and diversity of kids. My daughter never fails to make friends and have fun when there, and I've met many other wonderful, dedicated patents there too. On top of all that, there is a massive, wise old tree right in the heart of the park anchoring it into this incredible community.",5
05/30/2016 02:05:06,Timothy Roberts,104015527185406189913,Could use some updates,3
01/09/2016 20:33:02,Donnamarie Garvin,102015831130943929382,,5
06/04/2013 03:02:05,Martha Knox,111078006937102769487,"Lots of shade, pretty garden, and good variety of playground equipment for kids. Generally peaceful atmosphere and nice place to take little kids to play.",3
