review_datetime_utc,author_title,author_id,review_text,review_rating
03/31/2024 22:21:03,Alan Hsiao,112691776209741208346,櫻花盛開很美 人群不會很多 很適合拍照,5
03/28/2024 02:16:40,Anwar Md Hossain,102007699294378549343,"Ah, West Fairmount Park? It’s the spot where you’ll find me unwinding after a long day. It’s not just a park; it’s where community life thrives. You’ve got families picnicking, kids flying kites, and folks like me, taking a leisurely stroll or maybe a brisk jog. It’s our little slice of serenity amidst the city’s hustle. On weekends, the place comes alive with joggers, cyclists, and even the occasional food truck. It’s the kind of place where you nod a ‘hello’ to strangers, and that’s what makes it special. It’s our backyard, our playground, our place to breathe. Just a regular Joe’s paradise, you know?",5
03/16/2024 22:12:11,Vijesh Kumar,117590676596551702252,,4
02/28/2024 14:42:32,Ka Fix,113661281905603839613,love this park 💜💜💜 especially in the spring,5
01/24/2024 19:35:51,Edward Paul,109046698975311797730,,5
10/04/2023 21:45:55,Nicole Neely,101424998569605638732,,5
08/19/2023 20:35:20,Darryl Gordon,113431903617339770538,,5
08/11/2023 20:51:40,Liliia Bondareva,116337142181960446876,"Очень красивый парк 😍 дорожки в доль реки ,можно на велосипеде 🚴, можно побегать 🏃‍♀️ 🏃‍♂️ деревья тень 🌳🌳🌳 , Полянки , устроить пикник 🧺 с красивым видом 😍 , прокат лодок 🚣‍♀️ 🚣‍♂️, гуляют и плавают утки 🦆🦆🦆 , чистый воздух, очень люблю этот парк",5
06/29/2023 13:15:19,Boris Smola,107197330345992673518,,4
06/26/2023 21:50:47,Thomashia Snead-Moultrie,110891155892853205297,,4
06/17/2023 10:30:14,Alpana Kulkarni,109098798307698746109,,3
05/20/2023 02:20:31,Jermaine M,108770936666539282831,,5
04/18/2023 04:02:21,Navya Rajesh,110342239779453979432,,5
04/05/2023 00:17:37,GR Jiang,106325645391367691345,Wonderful!!,5
03/27/2023 12:22:04,MAJED BADABOOD,104636408718790768907,احب الاماكن التاريخية و اذا كان يوجد بها طبعيه توجد تماثيل جميله منتشرة في ساحة المكان,4
02/18/2023 03:03:15,CC,101471234209998706349,,3
02/15/2023 10:30:12,Eric Miller,102471513213669427462,Awesone,5
02/03/2023 02:19:24,Boss,116540499858242497823,,4
12/12/2022 02:17:57,Patricia Lovett,100253483892360439157,,5
11/25/2022 13:47:08,Gilbert Kendrick,108714842752057683263,I love the love to jogging the deers chased after me the other day at night but at night you hear a lot of creeping things so I try not to do no more running at night but it's a beautiful place here in Philly now the trees are turning color it's very quiet not too many people running in the cold but I love it thank you Jesus,5
10/21/2022 11:50:30,Hopeless Soul89,116617960323130276150,,5
10/21/2022 10:42:42,John Hayes,117929081708555008894,,5
07/08/2022 03:23:21,Matthew Tann,103992246741295761202,,5
06/24/2022 16:31:53,Sylvia Gladney,100653393228260544351,,3
04/13/2022 03:26:25,Isaac Ramos,106891130995510889422,Boom,4
09/01/2021 05:14:51,dayna wells,115540258530024367377,,5
08/28/2021 22:51:26,Shyvine Hicks,101116892216267372788,,4
08/26/2021 20:16:21,Maltenaj Neuson,113106300103965651798,Awesome! Sooo glad they opened back up,5
07/17/2021 21:27:38,Gregory Love,116709947309518978893,Beautiful spot.,5
07/06/2021 00:47:06,Christopher Mataka,101912380674851337472,,5
05/19/2021 01:43:35,Marvell Calloway,102662765852459005261,Very nice,5
05/03/2021 19:29:19,CAMYLE GORDON TAIT,106664120177160923679,Great vibes,5
12/23/2020 22:48:57,David Easlea,100334074679582928424,,5
