review_datetime_utc,author_title,author_id,review_text,review_rating
03/26/2024 14:55:34,danielle veney,107776819247158869266,,5
03/18/2024 17:46:21,Susanna Nolt,112834867949238690033,,5
03/17/2024 19:00:04,Shaka Davis,112482457661653827802,Nice park with interactive children's playground.  Great trees and there's open fields nearby.  Library and church across the street.,5
03/16/2024 23:01:29,Lori Patterson,102989627455189432931,"I love taking the little boy i watch there,but the one downside is when the high school kids hang out there and are all in the kids springs and other play apparatus. Plus they smoke and use foul language. I only go if I don't see them there.",4
03/07/2024 18:10:07,Jan Hadenfeldt,113321446487255756218,,5
02/28/2024 15:33:11,Matt Guedon,118178077138433987391,Nice playground for kids up top as long as the high school kids aren't there.  Great field for dogs at the bottom.,5
02/13/2024 11:34:58,Ben Blouin,105228917876114398852,,5
02/02/2024 04:03:07,Sam S,101994534037116499015,,5
01/18/2024 14:27:39,Brian Renner,103877488739920141011,,3
12/30/2023 20:35:43,Afshin A.,114485864326432346417,,5
12/09/2023 19:25:11,Michael Edwards,108823507927698649766,,5
11/01/2023 21:01:12,Ross Wright,100451000616947147455,Perfect place to take kids to play,5
10/28/2023 21:54:59,Monique Jerman,111062005701786745011,,5
10/22/2023 02:03:44,Jon “Traveler 369” Perez,116061207309705205498,"Beautiful, lushgreen park situated right on Ridge Ave between Hermitage & Fountain Sts. A playground designed specifically for the little one with plenty of swings & slides. Trees that provide plenty of shade & enough open space for a nice picnic or something like that.
The only drawback; the matted ground in the play area it a little worn but it still has its original buoyancy for safety. The Jungle Gym w/ metal slides at both ends is a bit dated & has an opening at the end that could present a challenge of falling off or out for the very young that are easily distracted. This is why I suggest if you have kids 3 & younger to be right there with them.
Overall it's a great place to take the kids, the pets or just yourself.",5
10/16/2023 00:37:04,jc7676,107891463613371379091,,5
10/15/2023 19:19:16,Nick Fortes,109897700606355446473,Nice big green space for all,5
10/13/2023 22:35:30,Thomas Sweeney,109731577338932701928,,5
10/12/2023 22:40:33,Smriti Bhatia,100964258267796149696,,3
10/12/2023 18:30:08,Liv Marcozzi,106686712070551620418,Favorite kids park in the area,5
10/10/2023 15:27:55,Gavonne Dixon,102728667668479143150,Great family Park with consistent activities for all ages,5
10/09/2023 16:50:30,Abraham Diaz,109849455576866692568,Good Family Environment and Diverse People,5
10/08/2023 17:22:24,Michael Ammann,112569298936025299535,,1
09/30/2023 22:19:40,Samantha Ryder,111455922185789962996,,5
09/22/2023 13:48:18,Christina Wesley (Tina),114543798276866150267,,4
09/10/2023 01:59:09,Tev man,102084767261882493035,,5
09/09/2023 05:30:34,Wednesday Black,110523986344788394187,,4
09/08/2023 19:12:58,Carol Bartha,105506842541232690236,Always nice and clean!,5
09/08/2023 14:21:35,Angela Long,117059961587771903800,"It's really due for an upgrade! The equipment is old and rusty; the benches are unsightly, and the trash needs to be gathered. 😔",2
09/05/2023 13:59:13,Saberah Sayeed,102221966208227647938,,5
09/04/2023 03:50:00,Shelimar Echevarria,107592617404524541002,,4
09/01/2023 02:21:36,Ben Cliver,107365690252348996607,Lovely little park. Cool war memorial. Great play park for kids (swings and whatnot). Beautiful trees that are marked. They have a weekly Farmers Market and summer concerts. I usually walk by on my lunch break.,5
08/30/2023 00:53:11,Janay Boykin,100019931890524393139,,5
08/28/2023 11:04:12,Deborah Toliver,105672114551558007537,,5
08/23/2023 14:04:59,Ronald Story,102142035225021415521,,5
08/22/2023 18:21:45,BiBi Debbie,102685110679842456578,,5
08/20/2023 15:42:31,Keith Nelson,100038153470191697823,,4
08/15/2023 17:29:33,Derek's World,108610238146490553677,"We love this park, its a nice sized park with plenty of room to relax and enjoy the scenery.  The old trees give a lot of character to this beautiful park.  There is usually plenty of parking available ,if you check the schedule you'll be lucky to enjoy a nice concert on a Thursday or Saturday.  Come and enjoy this park, bring your family, you wont be disappointed.",5
08/09/2023 15:56:17,Sheila Christopher,102464769721198963947,,5
08/09/2023 15:35:35,Laura Sensenig Long,102907245439738325378,,5
08/07/2023 21:40:41,Kevin,112951917362283861843,,5
08/06/2023 00:21:57,Mimi Kindig,107917893736985285123,,5
08/05/2023 23:15:47,Fiscolorado,115119468800359925545,,5
08/05/2023 15:36:07,Julian Grant,112920387261107022233,Will be back soon,5
08/05/2023 03:40:13,Crystal T Smith,100678163665423165927,,4
08/04/2023 11:38:03,Mary Courtney Thall,117368612289881643809,Well maintained and always beautiful! I love going here!,5
07/30/2023 20:15:48,Julia Barnett,106725001087143128624,,4
07/29/2023 20:27:49,Cullen Dougherty,100058669269355192683,,5
07/25/2023 11:36:12,Miriam Davidson,104328656988298592419,,5
07/23/2023 07:16:11,Gunner,110324742401790887898,"Great park. I was here for ""Parks On Tap"" the guys that keep an eye on the park was great. My wife, my 2 dogs and myself made a few new friends with some local dog owners. Great place to hang out with the kids and dogs. My family has marked park a winner and we will be back.",5
07/22/2023 20:04:28,Mike Herberg,112488048246402587653,"Green space, playground, farmer’s market on Fridays, yearly Parks on Tap, amazing flower beds and lots of varieties of trees, plus much more on their activity calendar.",5
07/22/2023 19:39:58,just me,105821845768926894349,"The people are nice, the park is clean! They have a movie night with projector, great park!!!",5
07/21/2023 23:38:57,Samantha Winterburn,102324541012753177119,Lovely park! They have events during the summer as well.,5
07/21/2023 22:46:03,mrth pzrr,118348917791629177927,,4
07/16/2023 12:38:17,Kadijah Adams,109161376805018446525,"Stopped there for the evening music performed on a Thursday night, so romantic, lots of benches, and the fireflies were beautiful!",5
06/27/2023 13:03:23,Junior Faubert,117458253466819020381,Nice view and good atmosphere,5
06/19/2023 03:41:14,Lynda Mitchell,109802011771839484936,Peaceful except for a couple of somewhat aggressive black squirrels. I don't know whether there are restrooms there or not. I wasn't there long enough. Enjoy watching the Little Ones and families. Easy to park.,4
06/07/2023 00:19:19,S T,110488501857641105049,Would be nicer if people leashed their dogs or at least had any control over them if they are off leash. People get mad at you when THEIR dog pulls up on yours (that are leashed) and you make it clear you don't want them near yours.,1
06/03/2023 19:12:27,Andrew Ryan,105001305166626396186,Good shortcut down from ridge,5
05/29/2023 21:04:28,junior Rasta briggs,111946047132630211698,,5
04/23/2023 14:50:05,Brian Kisielewski,114969665753990931591,,4
04/18/2023 13:52:02,Erjon Turhani,105576504864868651144,,5
04/10/2023 03:52:20,Jason M.,110604475130883426055,Came here with my kids on Easter. Great little park. Will be back for sure.,5
04/05/2023 13:10:56,Nina Israel,110997444799893255200,A small playground,3
03/31/2023 18:48:50,ziobrowskin,117827883096268850898,Great place to walk your dog and meet other puppers in the area,5
03/01/2023 07:24:44,bean H,116512125300931754952,Just moved to the area. Decided to walk my dog there for the first time. Nice park overall,4
01/26/2023 13:22:34,Allen K,114839956163925779526,Awesome poke stops (for Pokemon go),4
01/25/2023 15:47:26,Nicolas Di Giulio,102130163379628530164,,5
01/07/2023 17:14:26,Lysanka Walter,101542173058177867706,Tolle Gegend und hat bei mir einen tollen Eindruck hinterlassen 👌,5
01/01/2023 15:31:41,Patrick Carney,111652066753220341542,,5
12/18/2022 22:36:59,J. Harry Caufield,109107447122991343695,,5
12/10/2022 00:34:14,Sam Nicolary,110225687316742714307,Best park ever,5
12/05/2022 20:13:17,mike mastrangelo,111665036773527090919,The only place for kids to go and play in Roxborough.,3
11/25/2022 13:12:06,will fellman,112257465037714298655,Good place for the kids.,3
11/10/2022 23:58:32,Kristine Stroad Moore,102413297397483239407,"Fairly large park with 2 levels, friendly unofficial dog park in the lower area, decent playground on upper level. Lovely trees. Nicely maintained all over. Garden areas.  Some nice community events. Go and enjoy 🙂",5
10/30/2022 18:52:56,Nikki Saracini,105088378986004518918,,5
10/29/2022 20:25:45,Dan Buckley,104282743851518333296,"Beautiful place for a picnic. Don't great spaces to play with kids. I would not recommend it for running or for a pick-up hand it anything like that- the fields are not flat enough and it has people already there in nice days. That said, it is not too crowded to enjoy a picnic or anything that doesn't take a ton of space",5
10/25/2022 02:47:42,Michelle Lay,115182389135149144987,"Gorgas is a beautiful neighborhood park with a toddler friendly playground, two picnic benches and a gazebo. They have a small weekly farmer's market and lots of events during the Summer & Fall!",5
10/20/2022 10:00:54,Jean Howe,112230304395865627472,,5
10/18/2022 10:33:14,frank giorno,111385463083733109043,,4
10/09/2022 02:23:20,Chelsea Heifet,103396304199835005638,,5
10/05/2022 13:22:05,German Alfonso,101445002836284302105,Muy tranquilo entre semana mientras está los estudiantes en clases,5
10/04/2022 22:59:27,Cliff Kellett,113593791045269021229,Great park for children,4
10/03/2022 18:42:11,Lizbeth Espiritusanto,101143785339781477752,,5
10/01/2022 18:05:38,Lionel Green,102611363706765026424,,5
09/30/2022 23:58:24,nathan burgess,108709039783509749411,,5
09/16/2022 18:11:48,Ran Betit,109682754041817774737,,5
09/12/2022 22:26:47,Larry Nannery,113402538694956749198,"Lovely neighborhood park with an ok playground.

Playground can get pretty busy at times so remember you can always walk down to the shops and pick up something if you need a break from the chaos.

Also check out the library across the street, especially for little kids who like reading time....and a 3d printer",5
09/10/2022 20:05:53,Diane Davis,104445802412078902836,,5
09/06/2022 07:58:09,Jennifer Lynn,103745668440616575795,"Nice park my daughter loves. I did notice the last time I was there, there was lots of trash on the ground. I believe we can all take part and keeping it cleaner by cleaning up after ourselves and keeping it nice for the kids.",5
09/05/2022 01:35:57,superzoolady,118254405933134365945,Beautiful park. Good concert.,4
09/03/2022 23:27:09,Shenanigator X,100893742876728621706,,3
08/26/2022 23:09:46,Cori Frede,112394126515599258145,,5
08/16/2022 17:48:48,Elizabeth Silvestro,110921157901096537243,,5
08/15/2022 01:04:43,Julian T.,102857311021500700101,,5
08/09/2022 15:32:45,John Hall,100911110914918437989,The National Night Out event for the Philadelphia 5th Police District held there was great!!!,4
07/26/2022 01:21:55,Tim Shutes,100877521609998161660,,5
07/23/2022 20:44:36,Nicole Shepherdson,103202543568997487467,,5
07/22/2022 13:48:12,Ahmet Vataj,108202865835698479272,,5
07/17/2022 13:40:19,Jacob Soulas,105212379771333757176,"Beautiful park on the Ridge. Great for dogs, families, and wonderful garden.",5
07/16/2022 22:33:59,Julie Bannapanya,111980568521516121305,,5
07/14/2022 12:57:31,Tinna Kinchen,110050221138791389769,,5
07/10/2022 20:29:49,Vern Kaiser,112620223541727731123,Thanks to John Boyce the grounds were very well kept,5
07/07/2022 19:00:13,Sonya Edwards,117177024851285612155,Cool breezes & shady spots 4 a solo Happy Hour,4
06/15/2022 22:26:20,Alex Schwartz,116739166249999094727,Amazing park for young kids. Great lightly used play equipment and ample shade make for a great experience for all. The trees are really large and somewhat whimsical as well. Definitely worth a trip if you’re with young ones looking for fun in the area.  My only word of caution is that the play area is not fenced in and right next to a very busy road. Just be careful.,4
06/09/2022 23:42:52,Matthieu Pierre,110770351675844257585,,5
06/07/2022 01:02:07,Jo L,117698208557948113551,It was a nice park to visit,5
05/22/2022 20:16:45,Umm Kelechi,114165601994821323546,Gorgas Park is always nice and clean! Nice playground for the kids to play and have fun. Plenty of shade for the hot days!!,5
05/18/2022 19:43:36,Nick Barrett,117471395750507847159,,5
05/18/2022 17:02:09,Kyle Mulligan,111677191739955012761,,5
05/13/2022 18:33:31,Robert Clegg,111087262672978779527,Gorgas is one of the better parks in the neighborgood. Friends of Gorgas Park and neighborhood volunteers do a wonderful job maintaining the park. The play area and play structures could be better considering the overall size of the Park.,4
05/13/2022 13:38:25,Victoria Trani,103482753929579649445,A neighborhood classic 👌,5
05/11/2022 02:50:32,Zach Stein,109822556701237664805,,5
05/03/2022 04:10:44,Myndi Wexler,111160974670088229761,,4
05/02/2022 05:57:30,Don Shields,110647222266284878347,,5
04/28/2022 20:54:22,Dennis Cox,113205646580542624616,,5
04/27/2022 03:09:21,Colleen Pierson,106346100915838475170,,5
04/22/2022 21:33:52,Darin Gilchrist,103377874808641327354,"It's alright. All sidewalks and paths need overhaul, tough on strollers. Playground is nice though.",3
04/18/2022 17:18:54,Claribel Adrian,109882037442777439039,Muy grande y hermoso,4
04/12/2022 21:46:18,Renee Williams,102001022381399194118,,5
04/10/2022 00:04:29,seyifunmi Bamgbose,117185206976228413891,,5
04/06/2022 20:50:51,dreamgirl28able,109412382766929907023,,5
04/05/2022 16:33:47,Dan Luner,105980416509759515134,Playground for youth is nice. Plenty of picnic tables too to grab a bite with a friend. Go to the Halal cart across the street,4
03/25/2022 18:15:31,Synwon J Yoon,108408992997788725431,,5
03/22/2022 15:47:00,Omar Thomas,111359467490325349822,,4
03/14/2022 20:03:30,Benedetta,115068008455432335535,,5
03/13/2022 19:06:07,Daniela DePaola,111507223999448774294,,4
03/05/2022 03:26:06,Ant McCall1111,113089232010650256891,,4
02/28/2022 01:37:31,Qadirah Y. Russell,101496838472028421922,Great pork for smaller children. Great space to just hang out on the hill and catch some sun also.,4
02/16/2022 14:59:57,Melissa Melz,105715305629142902021,Honestly who is going to stop these kids from smoking weed at this park during school hours ????? With toddlers running around.,2
02/12/2022 20:27:45,Michelle Wong,102426604436457938249,Great park with play structures for different ages and abilities. Has picnic tables and open grass areas. Very spaced out so you can enjoy everything at a safe distance from others.,5
02/07/2022 18:44:32,WM B,113835301655766222253,Very nice neighborhood/urban park. A place where the local community meets.,4
02/05/2022 20:36:49,Matthew Woodruff,100930623647879918694,,5
02/05/2022 02:39:24,Thomas Madonna,100716275271878133775,,5
01/29/2022 22:43:58,Alexander Shatokhin,116430955682604940841,Здорово! Сегодня катались на горке,5
01/27/2022 16:54:10,HOWARD NEVIN,103799907948662283526,,5
12/21/2021 03:30:37,e harmon,118432948804607424459,Picked up my holiday wreaths there.,5
12/15/2021 00:40:59,Mike Rouwhorst,110332622668344107702,Nicest park in area great place to chill and smoke an L.,3
12/12/2021 15:48:11,Tom Kerr,116681971768319373810,,4
12/02/2021 04:12:52,Tom Holland,116298600342712417413,"Beautiful park,but the restrooms were locked. IDK if it was because it was Sunday or covid, but it was VERY inconvenient.",4
12/02/2021 02:41:51,Irvens,108711962728067042263,,5
11/24/2021 05:01:57,Nafees Baig,101376385995192220496,,5
11/20/2021 02:25:17,Khalil Gold,111276401940430197521,,5
11/17/2021 18:28:20,Caitlin Thompson,115713454733638750515,,4
11/12/2021 15:29:40,Alex Delaney (QuaD),107966994095054223677,"I've visited Gorgas Park on a weekly basis for the last several years and it's always clean, beautiful, and easily accessible. I'd highly recommend it.",5
11/11/2021 04:47:37,Candace Ludwig,105422349333736094286,,5
11/09/2021 16:33:38,Victoria Spaeth Nyce,109742829581564054746,,5
10/27/2021 21:37:17,Antonio Clavijo,107940562252289646154,This is an amazing park for kids.  My friends were visiting from Washington DC with their son and I walked here with them. There were other kids that he was able play with. It's clean.,5
10/27/2021 19:38:46,C Campbell,117720110976682980818,,5
10/16/2021 16:03:43,Suzanne “Suz's Views” Danella,113819282085000397812,,4
10/12/2021 02:07:10,Melanie Gonser,101067614790316908680,,5
10/09/2021 15:15:31,cheryl COHEN,100715608238563203365,,5
10/02/2021 17:30:09,PetitDriftGuy,117529277609330126274,,4
10/02/2021 13:43:32,Jessica Howell,107676080037566809518,,4
10/01/2021 20:41:22,Monique bbchanel,112871436687114123620,,5
10/01/2021 02:03:53,Dinnie Marie,100138751777892370688,My kids enjoy this park,4
09/25/2021 05:18:09,Michael Lear-Olimpi,110229618699615637273,Wonderful park in Philadelphia's Roxborough neighborhood. Terrifically good multipiece playground. Fantastic slopes of green grass and fields for running and playing. A track nearby at a high school allows for structured running or walking. Used to take my son there often when we lived in Philadelphia.,5
09/24/2021 20:47:06,Ben Flexner,107240474954458986805,"I really like this park, but I mostly come here to use the track. The track is great for getting in a workout when you need some place that's flat and fast. That said, it can get crowded during the weekends and if the weather is really nice and people don't follow the rules (no bikes and no strollers) so you do have to be prepared to run on a very ""public"" track. If track etiquette is the kind of thing that makes you rage, don't come here, your head will explode. It's common to have walkers in Lane 1, large groups walking 4 lanes wide or people weaving between the lanes. You also end up dodging kids and sometimes even dogs (another rule, no dogs on the track) but at the end of the day this place is still a great community resource and it's wonderful to have year-round access to it. It also has lights for the fall and winter so you can still use it in the evenings.",3
09/22/2021 15:41:50,Dottie Gillespie,100571378766378901116,A wonderful place to relax,5
09/12/2021 02:04:40,Sharlene Cannon,118144284211307315426,Enjoyable 😉,5
09/06/2021 23:19:48,Inspired Divinity,102595806959397878375,My son loves it here. Fun and peaceful. I enjoyed the slides with him but the swings are awesome for height.,5
09/05/2021 21:13:01,Derrick James,104296389380895375741,,5
09/05/2021 19:04:41,Harold Bishop,116615209855855111423,,5
08/30/2021 10:42:40,Iam Sů,109960520016945938889,"Really enjoyed this park.

Friendly people, friendly children, lot of play space, and reading activities at the park.",5
08/28/2021 21:38:15,Tameka Theodore,110239209255851599717,"Very nice , clean and family friendly.",5
08/25/2021 00:21:59,Lisa Thomas,111260775262502348600,"Great walking park
Dogs love it
Has plenty of seating  areas and a gazebo on a hill. Where you can look over the park",4
08/18/2021 14:25:03,Lisa Conaway,114557560482993408493,Beautiful park.Lovely.flowers. Don't see that at Vernin Park in Germantown . The sliding board is clean.  Try harder Vernon Park.,5
08/16/2021 00:12:42,Brenda Gibbs,103066655503283219277,,4
08/14/2021 01:23:42,Holly Conrad Smith,100059000453212496294,,5
08/13/2021 19:22:31,Jon Pezold,109376030050687509720,,1
08/11/2021 16:38:52,Houda El Azmi,112688134563767019581,,5
08/08/2021 20:12:29,Andrew Blum,111611101821827119254,,5
08/02/2021 00:33:36,Dawn Brice,110157446482085551480,,4
07/30/2021 22:39:56,Kevin Saint Clair,116017590872233373439,,5
07/26/2021 21:50:49,Christine W,114461640926359281461,Good park when sunny theres lots of trees for shade. Fun for kids,5
07/24/2021 19:18:53,Erica Ostrom,113545282482141165469,,5
07/22/2021 20:12:21,Tia Thompson,109236829532816733554,Very friendly staff and always clean..,5
07/18/2021 21:57:10,Joe Martelon,115659759607184241495,,3
07/18/2021 21:34:48,"ROBERT WILLIAM JOHNSON, JR.",101565634447650740671,Peaceful,5
07/15/2021 23:12:54,Albert Stephens,111561779702288804485,,5
07/13/2021 05:04:29,Lolo Nel,113411168001648272718,This was a lovely quiet place to host a surprised baby shower for an individual who gives so much of herself to others. The weather was beautiful and the park was a serene space for our event.,5
07/12/2021 01:35:56,Kimble Evans,100467940337120385550,Park was clean atmosphere welcoming we held a small party baby shower there.,5
07/08/2021 13:47:21,Joseph Lester,111049959246408586837,,4
07/05/2021 22:36:03,Howard Roberts,101617040040573285386,Great relaxing park to check out.,5
07/04/2021 23:05:06,Reflection Spirit,103497168587374442345,Wow perfect park clean fun environment for children,5
07/04/2021 22:05:51,Kisha Lee,105719190349673590911,My kid's favorite place,4
07/03/2021 01:59:59,Munir Kreidie,101224098554067484836,"Nice, clean, safe and well laid out. My favorite neighborhood park in Philadelphia.",5
06/29/2021 10:57:17,Jeff Powers,107017792752989066916,,5
06/21/2021 12:42:30,Ricardo Santiago,108295024948437995009,,5
06/18/2021 18:23:39,Tiara Mack,109443091072614064466,,5
06/18/2021 03:22:06,Genesis Gonzalez,105838492617059820050,Cute small park with the perfect amount of shade. Worth visiting if you live in the area!,5
06/14/2021 00:33:32,Avery-Dante Hinds,114396197362137645314,"Beautiful place to workout, read a book, take a walk, or just enjoy some sun!",5
06/10/2021 18:08:19,I Monti,116903203766650670808,It’s April and the cherry and crabapple blossoms are out. It looks a little non maintained right now but was a ok walk around park with playground and some dogs playing. War veteran memorial and baseball Diamond. Not very wheelchair handicapped Accessible but has a sidewalk in a horseshoe shape.,4
06/08/2021 19:58:06,leticia lacomba,108034628566569069158,,5
06/06/2021 15:28:18,Veronica Shelton,117589568851480976891,I 💙 Gorgas Park. The playground has the padded ground and all the equipment is safe for young children.  Safety is my number one concern and Gorgas Park has my mind at ease.,4
